description,price,link,company_name,product_name,ram,screen_size,storage,color,weight,operating_system,screen_type,processor_generation
"Dell New Inspiron 13 Laptop with AI Enabled Intel Core Ultra 5 125H Processor, 16GB LPDDR5X, 512GB SSD,13.3"" (33.78cm) QHD+ AG 300 nits Display, Backlit KB + FPR, Windows 11 + MSO'21, Silver, 1.24kg","87,279",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NzA5NTU0NDI5ODk0MTM0OjE3MzUzNjc2NjE6c3BfbXRmOjMwMDQzOTEyOTM5NzMzMjo6MDo6&url=%2FDell-Inspiron-Processor-Graphics-Light-1-24kg%2Fdp%2FB0CQT7S33K%2Fref%3Dsr_1_111_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.E6sIkfnK8QdaxWWNIaJgdFLEDXfQzgvC5zWk_e-9fqzkERZpkz1UnqcQOEl4wSaYayTMc_osA-G6nmLmHxY25LNSxyFxMr2y2Jms-B9HJR26ijEheAVM2CRKqRML5jvalTHStr2Nk1b-6u7K313DTf4DD5R0Pmh1Nr1K-rPvnzZE0Az526FBxOBGuwo1k5Av81nANRSKHGq5cJbHliO4BnYVFn3LaqzdCEIt584skWgbrOOZGXTSHZX6xZ7ma_s6P-239nnBLd78t-0Aq1acJMOR3rGhHBxXOcZMFn3JaHM.Ip1xp_BkENLvGw9hSxGB73QbgHA7e6Ffcw8CcKVeDy4%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367661%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-111-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Dell,Alienware,8GB RAM,13.3,512GB SSD,Silver,1.5 Kg,Windows 11,OLED,9th Gen
"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg","37,990",https://amazon.in//Dell-i3-1305U-Processor-39-62cm-GraphicsWin/dp/B0CNZ8MDLV/ref=sr_1_31?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-31,Dell,XPS,4GB RAM,15.6,512GB SSD,Black,1.9 Kg,Windows 11,OLED,9th Gen
"Dell Gaming G15-5530 13th Gen Laptop, Intel i5-13450HX/16GB/512GB SSD/NVIDIA RTX 3050 (6GB GDDR6)/15.6"" (39.62cm) FHD 120Hz 250 nits/Win 11+MSO'21/Backlit Keyboard 4-Zone RGB/Dark Shadow Gray/2.65kg","75,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NzA5NTU0NDI5ODk0MTM0OjE3MzUzNjc2NjE6c3BfbXRmOjMwMDE2NDQ1ODM5NzEzMjo6MDo6&url=%2FDell-G15-5530-i5-13450HX-39-62cm-Keyboard%2Fdp%2FB0C1Z4GS7L%2Fref%3Dsr_1_112_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.E6sIkfnK8QdaxWWNIaJgdFLEDXfQzgvC5zWk_e-9fqzkERZpkz1UnqcQOEl4wSaYayTMc_osA-G6nmLmHxY25LNSxyFxMr2y2Jms-B9HJR26ijEheAVM2CRKqRML5jvalTHStr2Nk1b-6u7K313DTf4DD5R0Pmh1Nr1K-rPvnzZE0Az526FBxOBGuwo1k5Av81nANRSKHGq5cJbHliO4BnYVFn3LaqzdCEIt584skWgbrOOZGXTSHZX6xZ7ma_s6P-239nnBLd78t-0Aq1acJMOR3rGhHBxXOcZMFn3JaHM.Ip1xp_BkENLvGw9hSxGB73QbgHA7e6Ffcw8CcKVeDy4%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367661%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-112-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Dell,Alienware,4GB RAM,15.6,512GB SSD,Black,2.2 Kg,Windows 10,IPS,9th Gen
"Dell Original 90W USB Type C(USB-C) AC Power Adapter for XPS 13ï¼ŒPrecision 3540,Latitude 3400,3500, 5289,5300 2in1,7400 2in1,7300, 7390 2in1, 7200 2in1,5400,0TDK33 (Include Power Cord)","3,999",https://amazon.in//Original-Adapter-13%EF%BC%8CPrecision-Latitude-Include/dp/B0BR7VB2DL/ref=sr_1_117?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.E6sIkfnK8QdaxWWNIaJgdFLEDXfQzgvC5zWk_e-9fqzkERZpkz1UnqcQOEl4wSaYayTMc_osA-G6nmLmHxY25LNSxyFxMr2y2Jms-B9HJR26ijEheAVM2CRKqRML5jvalTHStr2Nk1b-6u7K313DTf4DD5R0Pmh1Nr1K-rPvnzZE0Az526FBxOBGuwo1k5Av81nANRSKHGq5cJbHliO4BnYVFn3LaqzdCEIt584skWgbrOOZGXTSHZX6xZ7ma_s6P-239nnBLd78t-0Aq1acJIbwnvglEkLyvjUjWQ3jIw2w-D_ExleXoseIqhH8UFHlB8--FXF7Kr7ZA6g-MlFJpgVrWV4A_GW9gEoUuOWmOPk.PNkQV4DIgR0w5o7cb0-1wwrzsqRwB92KLfye_jfyvns&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367661&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-117,Dell,Alienware,8GB RAM,14.0,512GB SSD,Black,1.8 Kg,Windows 10,OLED,Intel 14th Gen
"Dell 2years Extended Warranty with Basic Support for Vostro 3000 & 5000 Series Laptops (Email Delivery, No Physical Kit)","2,999",https://amazon.in//Extended-Warranty-Support-Delivery-Physical/dp/B0CKW9W5MS/ref=sr_1_120?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.E6sIkfnK8QdaxWWNIaJgdFLEDXfQzgvC5zWk_e-9fqzkERZpkz1UnqcQOEl4wSaYayTMc_osA-G6nmLmHxY25LNSxyFxMr2y2Jms-B9HJR26ijEheAVM2CRKqRML5jvalTHStr2Nk1b-6u7K313DTf4DD5R0Pmh1Nr1K-rPvnzZE0Az526FBxOBGuwo1k5Av81nANRSKHGq5cJbHliO4BnYVFn3LaqzdCEIt584skWgbrOOZGXTSHZX6xZ7ma_s6P-239nnBLd78t-0Aq1acJIbwnvglEkLyvjUjWQ3jIw2w-D_ExleXoseIqhH8UFHlB8--FXF7Kr7ZA6g-MlFJpgVrWV4A_GW9gEoUuOWmOPk.PNkQV4DIgR0w5o7cb0-1wwrzsqRwB92KLfye_jfyvns&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367661&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-120,Dell,Inspiron,4GB RAM,16.0,512GB SSD,Arctic Grey,1.3 Kg,Windows 10,VA,Intel 14th Gen
"Dell 15 Laptop, 13th Gen Intel Core i5-1335U Processor/ 8GB/ 512GB SSD/15.6"" (39.62cm) FHD AG 120Hz 250 nits Narrow Border/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Thin & Light- 1.66kg","51,290",https://amazon.in//Dell-Laptop-i5-1335U-Processor-39-62cm/dp/B0CCSMVFWS/ref=sr_1_32?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-32,Dell,G-Series,16GB RAM,15.6,512GB SSD,Black,1.9 Kg,Windows 11,VA,Intel 11th Gen
"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, Backlit KB, Windows 11 + MSO'21, 15 Month McAfee, Silver, Thin & Light-1.62kg","68,790",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNTU3MzU4MzMwOTg4MzUxOjE3MzUzNjc2NjY6c3BfYXRmX25leHQ6MzAwNDM5MTA0NTEyMTMyOjowOjo&url=%2FDell-Inspiron-3530-Generation-Light-1-62kg%2Fdp%2FB0DFCM24S3%2Fref%3Dsr_1_121_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRswPC0T0S03-JC217oiTku4.7rIngeJMH6Pn-KAo_1na3x1ZYs0tQlcceAaj2-vy8Jw%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367666%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-121-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Dell,Latitude,8GB RAM,15.6,256GB SSD,Silver,2.5 Kg,Windows 11,IPS,Intel 11th Gen
"Dell Vostro 15 3520 Laptop - 15.6 inch (39.62cm) FHD Display, Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Titan Grey, 1.69Kg, Ideal for Business Users, Perfect for Productivity and Collaboration","48,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNTU3MzU4MzMwOTg4MzUxOjE3MzUzNjc2NjY6c3BfYXRmX25leHQ6MzAwMzQ2NjExNzg2OTMyOjowOjo&url=%2FDell-Vostro-3520-Laptop-Collaboration%2Fdp%2FB0BQJ7NMVM%2Fref%3Dsr_1_122_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRswPC0T0S03-JC217oiTku4.7rIngeJMH6Pn-KAo_1na3x1ZYs0tQlcceAaj2-vy8Jw%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367666%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-122-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Dell,Inspiron,16GB RAM,15.6,512GB SSD,Silver,1.9 Kg,Windows 11,VA,Intel 9th Gen
"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021","31,650",https://amazon.in//DELL-Latitude-3540-Intel-1215U/dp/B0B885ZDBP/ref=sr_1_33?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-33,DELL,XPS,4GB RAM,15.6,512GB SSD,Black,1.8 kg,Windows 11,OLED,Intel 9th Gen
"Dell 2years Extended Warranty for INSPIRON 3000 & 5000 Series for Laptop (Email Delivery, No Physical Kit)","3,499",https://amazon.in//Extended-Warranty-Support-Delivery-Physical/dp/B0CKWC9RG4/ref=sr_1_129?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRlNTGSJFLvES2hCFgvtbH3fw99Xs5y7JxX9OfQBCDrDpd2CzJyZHkjp88EmuIT-0vqBUYG9o9vIivWRv6_qmqBM.siIvwK5BnlzkQ_RCyeD4PUpU6-kBI8ttz1ZLH3zNKEw&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367666&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-129,Dell,Latitude,4GB RAM,16.0,512GB SSD,Silver,1.4 Kg,Windows 10,TN,Intel 12th Gen
"DELL Original 65WHR Laptop Battery (91T8W) COMAPATIBLE INSPIRON-14-3421/37/43/21, INSPIRON-15 3537/21/42 INSPIRON-15R, INSPIRON-15R 5521 15R-5537, Latitude 3440 3540","2,399",https://amazon.in//Inspiron-14R-3421-15R-5521-312-1387-FLYTEN/dp/B07CH21D47/ref=sr_1_133?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRlNTGSJFLvES2hCFgvtbH3fw99Xs5y7JxX9OfQBCDrDpd2CzJyZHkjp88EmuIT-0vqBUYG9o9vIivWRv6_qmqBM.siIvwK5BnlzkQ_RCyeD4PUpU6-kBI8ttz1ZLH3zNKEw&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367666&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-133,DELL,Inspiron,4GB RAM,16.0,512GB SSD,Arctic Grey,1.8 Kg,Windows 10,VA,Intel 11th Gen
"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 512GB,NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Windows 11 + MSO'21,Dark Shadow, 2.65kg","74,490",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNTU3MzU4MzMwOTg4MzUxOjE3MzUzNjc2NjY6c3BfbXRmOjMwMDIwMDYzMDQyNDczMjo6MDo6&url=%2FDell-G15-5530-Gaming-i5-13450HX-Processor%2Fdp%2FB0CRKX3JRT%2Fref%3Dsr_1_135_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRswPC0T0S03-JC217oiTku4.7rIngeJMH6Pn-KAo_1na3x1ZYs0tQlcceAaj2-vy8Jw%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367666%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-135-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Dell,G-Series,16GB RAM,15.6,256GB SSD,Black,1.8 Kg,Windows 11,OLED,Intel 12th Gen
"Dell Inspiron 15 3535 Laptop - 15.6 inch FHD (39.62cm) Display, AMD Ryzen 5 7520U, 8 GB RAM, 512 GB SSD, Carbon Black, 1.67Kg, Ideal for Students, Perfect for Learning and Productivity","38,990",https://amazon.in//Dell-Inspiron-3535-Laptop-Productivity/dp/B0D83G8R99/ref=sr_1_34?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-34,Dell,Latitude,4GB RAM,14.0,256GB SSD,Black,1.4 Kg,Windows 10,VA,Intel 11th Gen
"Dell 130W 240V Slim 7.4 MM Pin Laptop Charger Adapter For Alienware, Inspiron 15, Latitude, Precision And Vostro 15 Models - Black Without Power Cord","2,499",https://amazon.in//Dell-JU012-130W-AC-Adapter/dp/B0064PQOSC/ref=sr_1_141?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRlNTGSJFLvES2hCFgvtbH3fw99Xs5y7JxX9OfQBCDrDpd2CzJyZHkjp88EmuIT-0vqBUYG9o9vIivWRv6_qmqBM.siIvwK5BnlzkQ_RCyeD4PUpU6-kBI8ttz1ZLH3zNKEw&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367666&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-141,Dell,Latitude,16GB RAM,14.0,256GB SSD,Black,2.3 Kg,Windows 11,TN,Intel 12th Gen
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)","2,999",https://amazon.in//Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_142?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.QUiGIWodRuQ_KXB4uZWWDJaPeYCKnMs8Nm6n7F0mk_g6LvPRteue4nPGO0kK-DcJgSgINs9jUwIIdFnbj_77GhYXm_wGymPYA3tbM_QwUbnX65ckfaVMU301dZVqgKNAG6Lala01ppmQ0HmZw--wblIJ7rg5L1bbGJbwFJp_RlvrjjVIhEwNI0924ygC1tKFpnB1DxYaVT6tI_58lT3P-_IfcS0tCppe1hsCyww6C7hdoMLaqd105MGGqKyEQ83TmSCon9L2lz1pQmTHvhqZRlNTGSJFLvES2hCFgvtbH3fw99Xs5y7JxX9OfQBCDrDpd2CzJyZHkjp88EmuIT-0vqBUYG9o9vIivWRv6_qmqBM.siIvwK5BnlzkQ_RCyeD4PUpU6-kBI8ttz1ZLH3zNKEw&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367666&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-142,Dell,G-Series,4GB RAM,16.0,256GB SSD,Black,1.5 Kg,Windows 10,IPS,Intel 9th Gen
"Dell 14 Laptop, Intel 13th Generation Core i5-1334U Processor, 8GB DDR5 & 512GB SSD, 14""(35.52cm) FHD+ AG 250nits, Windows 11 + MSO'21 + 15 Month Mcafee Antivirus, Titan Grey, Thin & Light- 1.55kg","51,990",https://amazon.in//Dell-Generation-i5-1334U-Processor-Antivirus/dp/B0D46Q1736/ref=sr_1_35?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-35,Dell,XPS,4GB RAM,14.0,512GB SSD,Arctic Grey,1.3 Kg,Windows 11,VA,Intel 14th Gen
"Dell Gaming G15 Laptop, 13th Gen Intel Core i5-13450HX Processor/8GB/512GB SSD/NVIDIA RTX 3050 (6GB GDDR6)/15.6"" (39.62cm) FHD 120Hz 250 nits/Backlit RGB KB 4-Zone/Win 11 + MSO'21/Dark Shadow/2.65KG","72,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMTEwNzYxMTEyNTU1NDQ1OjE3MzUzNjc2NzE6c3BfYXRmX25leHQ6MzAwMTY0NDU4Mzk3MjMyOjowOjo&url=%2FDell-G15-5530-i5-13450HX-39-62Cms-GN553064GRM002ORB1%2Fdp%2FB0C1Z6MK4K%2Fref%3Dsr_1_145_sspa%3Fcrid%3D18ZAB0S0IG7BR%26dib%3DeyJ2IjoiMSJ9.A4-l22ifYC9p8dHvY-WaX-yEBUkXVvJ3gKePMrpBm-knKy12fk8km8hbBFESaecrEIyxqy34zAQ0EmbZRGAnteQfgCcfbhUnpI1x-YJ6aaKGzUZW1cqW_Be_Gzp4lK5qZgx2Tdyws1dHvaLx24cFSMbcJcFPofr3JLFU-u9rFnDixUUlHsU_AQGHBFakA1wTxxLPJmIk_Do0OjqJors8Z4tCDHC2aEikxHGeWkAf5uMOR67mNNSy2NB1ePwaQ8cu30hPeT3jE0innug_PSMRzVPO8io7iGRudg-ic9vfu8A.axljX0R8pti5SrWD2KCrneU5Gh7gg-8MPSzeij0ePT0%26dib_tag%3Dse%26keywords%3Dlaptop%2Bdell%26nsdOptOutParam%3Dtrue%26qid%3D1735367671%26s%3Dcomputers%26sprefix%3Dlaptop%2Blenov%252Ccomputers%252C254%26sr%3D1-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Dell,Inspiron,8GB RAM,15.6,512GB SSD,Silver,2.5 Kg,Windows 10,IPS,9th Gen
"Dell Inspiron 3520 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD Display- 3 Side Narrow Border, Win 11 + MSO'21, 2 Tuned Speakers, Black, Thin & Light-1.65Kg","46,990",https://amazon.in//Dell-Inspiron-i5-1235U-39-62Cms-D560865WIN9B/dp/B0BH4SQPQL/ref=sr_1_36?crid=18ZAB0S0IG7BR&dib=eyJ2IjoiMSJ9.LiY0Q4AdYEUS1ZsF4vCW_ojX4oU0UwvDz1oMKxnKziy_xpxxkzvVtWQ78suU5WRK5o6AT2s84HbdK5bd0JqoZh7ouA29UoOhqfkzcgOhcK4438fGjG6eykf1QzROOHaUsnWaC8XlmZy2OZ191t86Snkm2SoZKgJsmL9GcoQNYwdclnZLSwBast50BgCcdsQSZcfuQFONuqILyWp55yE_CNZBo4Q9tZ_93AZK7tISWiKaB5FjDjX-alcL2az7im6OXpOgVmiyYQD1Rog5axLNxEJuZ31KgpAjGA8CRwev3hNZnApfB6i9j0QxXUKjnkSGQrPgo2DizZJvBHf1gkS5BkMbbhBEZ0ZhrUSwW5FRdBA.i0aPt25HbzJ3kNw841aVY3D2HYL-cItGyc22pDdLseA&dib_tag=se&keywords=laptop+dell&nsdOptOutParam=true&qid=1735367645&s=computers&sprefix=laptop+lenov%2Ccomputers%2C254&sr=1-36,Dell,Inspiron,8GB RAM,15.6,512GB SSD,Black,1.8 Kg,Windows 11,IPS,Intel 12th Gen
